Time,p21r1,p21r2,p21r3,p28r1,p28r2,p28r3,p167r1,p167r2,p167r3,p168r1,p168r2,p168r3,p180r1,p180r2,p180r3,p181r1,p181r2,p181r3,p182r1,p182r2,p182r3,p195r1,p195r2,p195r3,p196r1,p196r2,p196r3,BLKr1,BLKr2,BLKr3
00:02:15,0.134,0.122,0.147,0.118,0.173,0.151,0.136,0.119,0.164,0.172,0.124,0.138,0.146,0.115,0.147,0.133,0.118,0.133,0.129,0.116,0.126,0.132,0.107,0.13,0.133,0.12,0.137,0.098,0.098,0.098
00:05:15,0.135,0.121,0.149,0.118,0.172,0.152,0.137,0.119,0.165,0.173,0.125,0.138,0.146,0.113,0.147,0.133,0.118,0.134,0.129,0.117,0.126,0.132,0.107,0.131,0.134,0.121,0.138,0.097,0.098,0.098
00:08:15,0.135,0.121,0.15,0.119,0.175,0.156,0.137,0.12,0.167,0.176,0.125,0.139,0.147,0.111,0.149,0.133,0.118,0.134,0.129,0.117,0.127,0.133,0.107,0.132,0.134,0.121,0.139,0.097,0.098,0.098
00:11:15,0.136,0.121,0.152,0.12,0.178,0.158,0.139,0.12,0.17,0.178,0.126,0.14,0.148,0.111,0.151,0.135,0.118,0.136,0.13,0.118,0.128,0.134,0.107,0.133,0.135,0.122,0.141,0.097,0.098,0.098
00:14:15,0.138,0.12,0.154,0.12,0.179,0.16,0.14,0.122,0.17,0.182,0.127,0.141,0.15,0.11,0.153,0.137,0.119,0.138,0.131,0.118,0.129,0.135,0.108,0.134,0.136,0.123,0.142,0.097,0.098,0.098
00:17:15,0.139,0.122,0.156,0.121,0.181,0.163,0.142,0.123,0.172,0.185,0.128,0.141,0.152,0.11,0.155,0.139,0.12,0.14,0.133,0.119,0.131,0.136,0.108,0.136,0.138,0.123,0.144,0.097,0.098,0.098
00:20:15,0.141,0.121,0.159,0.123,0.183,0.166,0.144,0.124,0.176,0.19,0.13,0.143,0.154,0.11,0.158,0.141,0.121,0.141,0.134,0.12,0.132,0.138,0.109,0.139,0.14,0.125,0.147,0.097,0.098,0.098
00:23:15,0.143,0.122,0.162,0.124,0.187,0.167,0.147,0.126,0.179,0.195,0.131,0.145,0.157,0.111,0.162,0.143,0.122,0.144,0.136,0.122,0.134,0.14,0.11,0.14,0.142,0.126,0.149,0.097,0.098,0.098
00:26:15,0.145,0.123,0.165,0.125,0.187,0.172,0.149,0.128,0.181,0.199,0.133,0.146,0.159,0.11,0.165,0.144,0.123,0.146,0.138,0.123,0.136,0.142,0.11,0.143,0.145,0.128,0.152,0.097,0.098,0.098
00:29:15,0.148,0.123,0.169,0.127,0.192,0.179,0.151,0.129,0.184,0.205,0.135,0.148,0.163,0.11,0.168,0.148,0.125,0.149,0.141,0.125,0.138,0.145,0.111,0.146,0.148,0.129,0.154,0.097,0.098,0.098
00:32:15,0.151,0.124,0.173,0.129,0.192,0.182,0.155,0.131,0.186,0.211,0.137,0.15,0.166,0.111,0.172,0.15,0.126,0.151,0.143,0.126,0.14,0.146,0.112,0.148,0.149,0.131,0.157,0.098,0.098,0.098
00:35:15,0.153,0.125,0.176,0.13,0.196,0.184,0.158,0.133,0.192,0.216,0.139,0.152,0.169,0.111,0.176,0.154,0.128,0.154,0.145,0.128,0.143,0.15,0.113,0.151,0.154,0.133,0.16,0.097,0.098,0.098
00:38:15,0.156,0.126,0.18,0.132,0.199,0.188,0.161,0.135,0.194,0.221,0.142,0.154,0.173,0.112,0.18,0.157,0.13,0.158,0.149,0.13,0.145,0.154,0.114,0.154,0.158,0.136,0.165,0.097,0.098,0.098
